tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291484,142,1941,4095,0.029,1.822
3323853,142,1941,4095,0.029,1.822
3356177,142,1952,4095,0.052,1.844
3388477,142,1998,4095,0.147,1.940
3420804,143,2091,4095,0.341,2.134
3453119,144,2223,4095,0.616,2.409
3485456,145,2377,4095,0.937,2.730
3517756,146,2539,4095,1.274,3.067
3550096,147,2701,4095,1.612,3.405
3582409,148,2866,4095,1.956,3.749
3614748,150,3033,4095,2.304,4.097
3647048,152,3203,4095,2.658,4.451
3679367,153,3369,4095,3.004,4.797
3711676,155,3534,4095,3.347,5.140
3743994,157,3698,4095,3.689,5.482
3776316,159,3861,4095,4.029,5.822
3808648,160,4022,4095,4.364,6.157
3840964,162,4184,4095,4.702,6.494
3873288,164,4348,4095,5.043,6.836
3905608,165,4513,4095,5.387,7.180
3937937,167,4681,4095,5.737,7.530
3970247,168,4848,4095,6.085,7.878
4002577,170,5016,4095,6.435,8.228
4034900,171,5183,4095,6.783,8.576
4067231,173,5352,4095,7.135,8.928
4099539,174,5516,4095,7.477,9.269
4131871,175,5680,4095,7.818,9.611
4164192,176,5844,4095,8.160,9.953
4196525,177,6008,4095,8.502,10.294
4228835,178,6176,4095,8.852,10.644
4261166,178,6343,4095,9.199,10.992
4293475,179,6511,4095,9.549,11.342
4325811,179,6677,4095,9.895,11.688
4358097,180,6840,4095,10.235,12.028
4390422,180,7001,4095,10.570,12.363
4422731,180,7162,4095,10.906,12.699
4455051,180,7323,4095,11.241,13.034
4487361,180,7480,4095,11.568,13.361
4519698,180,7632,4095,11.885,13.678
4552022,180,7782,4095,12.197,13.990
4584349,179,7928,4095,12.502,14.294
4616668,179,8073,4095,12.804,14.597
4648999,179,8215,4095,13.099,14.892
4681313,179,8360,4095,13.402,15.194
4713638,178,8500,4095,13.693,15.486
4745961,178,8635,4095,13.974,15.767
4778293,177,8766,4095,14.247,16.040
4810610,177,8891,4095,14.508,16.301
4842931,177,9012,4095,14.760,16.553
4875252,177,9129,4095,15.004,16.797
4907586,177,9241,4095,15.237,17.030
4939895,177,9349,4095,15.462,17.255
4972227,176,9454,4095,15.681,17.474
5004538,175,9553,4095,15.887,17.680
5036875,173,9645,4095,16.079,17.872
5069183,172,9727,4095,16.249,18.042
5101516,171,9805,4095,16.412,18.205
5133839,170,9879,4095,16.566,18.359
5166170,169,9938,4095,16.689,18.482
5198478,168,9921,4095,16.654,18.447
5230804,167,10137,4095,17.104,18.897
5263118,166,10283,4095,17.408,19.201
5295454,165,10364,4095,17.577,19.369
5327755,164,10420,4095,17.693,19.486
5360096,163,10461,4095,17.779,19.572
5392409,162,10492,4095,17.843,19.636
5424748,161,10514,4095,17.889,19.682
5457047,161,10528,4095,17.918,19.711
5489367,160,10535,4095,17.933,19.726
5521676,159,10536,4095,17.935,19.728
5553994,158,10531,4095,17.924,19.717
5586317,158,10525,4095,17.912,19.705
5618648,157,10519,4095,17.899,19.692
5650964,156,10511,4095,17.883,19.676
5683287,155,10499,4095,17.858,19.651
5715606,155,10485,4095,17.829,19.622
5747937,154,10463,4095,17.783,19.576
5780250,154,10434,4095,17.722,19.515
5812577,153,10401,4095,17.654,19.447
5844898,152,10386,4095,17.622,19.415
5877231,152,10374,4095,17.597,19.390
5909539,151,10348,4095,17.543,19.336
5941871,151,10308,4095,17.460,19.253
5974193,150,10263,4095,17.366,19.159
6006525,150,10211,4095,17.258,19.051
6038835,150,10160,4095,17.152,18.944
6071165,149,10106,4095,17.039,18.832
6103475,149,10052,4095,16.927,18.719
6135811,149,9997,4095,16.812,18.605
6168097,150,9940,4095,16.693,18.486
6200422,151,9882,4095,16.572,18.365
6232731,153,9824,4095,16.452,18.244
6265051,154,9770,4095,16.339,18.132
6297361,155,9720,4095,16.235,18.028
6329698,157,9676,4095,16.143,17.936
6362025,158,9636,4095,16.060,17.853
6394349,159,9596,4095,15.977,17.769
6426667,161,9560,4095,15.902,17.694
6458998,162,9528,4095,15.835,17.628
6491310,164,9500,4095,15.777,17.569
6523638,165,9464,4095,15.702,17.494
6555961,164,9345,4095,15.454,17.247
