tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
7752053,141,9217,4095,15.096,16.980
7784373,140,9169,4095,14.996,16.880
7816703,140,9118,4095,14.890,16.774
7849009,139,9085,4095,14.821,16.705
7881335,139,9055,4095,14.759,16.642
7913652,138,9011,4095,14.667,16.551
7945988,138,8959,4095,14.559,16.442
7978289,138,8910,4095,14.456,16.340
8010631,137,8856,4095,14.344,16.228
8042949,137,8803,4095,14.234,16.117
8075284,136,8751,4095,14.125,16.009
8107597,136,8692,4095,14.002,15.886
8139920,136,8637,4095,13.888,15.772
8172242,135,8582,4095,13.773,15.657
8204576,135,8562,4095,13.731,15.615
8236886,135,8510,4095,13.623,15.507
8269209,134,8447,4095,13.492,15.376
8301541,134,8382,4095,13.356,15.240
8333873,134,8342,4095,13.273,15.157
8366184,134,8304,4095,13.194,15.078
8398503,133,8261,4095,13.104,14.988
8430836,133,8220,4095,13.019,14.903
8463162,133,8175,4095,12.925,14.809
8495472,133,8137,4095,12.846,14.730
8527797,132,8094,4095,12.756,14.640
8560106,132,8044,4095,12.652,14.536
8592446,132,7996,4095,12.552,14.436
8624753,132,7951,4095,12.459,14.342
8657083,131,7905,4095,12.363,14.247
8689406,131,7862,4095,12.273,14.157
8721749,131,7818,4095,12.181,14.065
8754057,131,7680,4095,11.894,13.778
8786377,131,7520,4095,11.561,13.444
8818686,131,7454,4095,11.423,13.307
8851034,130,7393,4095,11.296,13.180
8883335,130,7350,4095,11.206,13.090
8915655,130,7318,4095,11.140,13.024
8947953,130,7286,4095,11.073,12.957
8980278,130,7256,4095,11.011,12.894
9012601,130,7222,4095,10.940,12.824
9044934,130,7186,4095,10.865,12.749
9077244,130,7165,4095,10.821,12.705
9109563,130,7146,4095,10.781,12.665
9141884,129,7126,4095,10.740,12.624
9174221,129,7105,4095,10.696,12.580
9206528,129,7083,4095,10.650,12.534
9238859,129,7059,4095,10.600,12.484
9271187,129,7036,4095,10.552,12.436
9303517,129,7013,4095,10.504,12.388
9335826,129,6993,4095,10.463,12.347
9368148,129,6971,4095,10.417,12.301
9400477,129,6951,4095,10.375,12.259
9432811,129,6931,4095,10.334,12.217
9465121,129,6912,4095,10.294,12.178
9497440,129,6894,4095,10.256,12.140
9529761,129,6877,4095,10.221,12.105
9562101,129,6858,4095,10.181,12.065
9594411,130,6843,4095,10.150,12.034
9626736,130,6828,4095,10.119,12.003
9659052,130,6817,4095,10.096,11.980
9691395,130,6804,4095,10.069,11.953
9723703,130,6792,4095,10.044,11.928
9756026,130,6781,4095,10.021,11.905
9788574,142,6772,4095,10.002,11.886
