tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291477,142,1965,4095,-0.002,1.872
3323849,142,1966,4095,0.000,1.874
3356172,142,1977,4095,0.023,1.897
3388473,142,2026,4095,0.125,1.999
3420800,143,2123,4095,0.328,2.201
3453114,144,2261,4095,0.615,2.488
3485450,145,2420,4095,0.946,2.819
3517751,146,2585,4095,1.290,3.163
3550091,147,2751,4095,1.636,3.509
3582404,148,2917,4095,1.982,3.855
3614745,150,3086,4095,2.334,4.207
3647045,152,3258,4095,2.692,4.565
3679365,153,3429,4095,3.048,4.922
3711672,155,3598,4095,3.400,5.274
3743989,157,3766,4095,3.750,5.624
3776310,159,3932,4095,4.096,5.969
3808643,160,4096,4095,4.438,6.311
3840956,162,4261,4095,4.782,6.655
3873284,164,4429,4095,5.132,7.005
3905593,165,4595,4095,5.478,7.351
3937929,167,4764,4095,5.830,7.703
3970229,168,4932,4095,6.180,8.053
4002550,170,5102,4095,6.534,8.407
4034855,171,5271,4095,6.886,8.759
4067173,173,5440,4095,7.238,9.111
4099494,174,5608,4095,7.588,9.461
4131831,175,5776,4095,7.938,9.811
4164141,176,5944,4095,8.288,10.161
4196467,177,6114,4095,8.642,10.515
4228786,178,6283,4095,8.994,10.867
4261125,178,6453,4095,9.348,11.222
4293433,179,6623,4095,9.703,11.576
4325756,179,6794,4095,10.059,11.932
4358078,180,6959,4095,10.403,12.276
4390418,180,7123,4095,10.744,12.617
4422727,180,7288,4095,11.088,12.961
4455046,180,7450,4095,11.425,13.299
4487354,180,7609,4095,11.757,13.630
4519695,180,7766,4095,12.084,13.957
4552021,180,7918,4095,12.400,14.274
4584344,179,8065,4095,12.707,14.580
4616663,179,8212,4095,13.013,14.886
4648995,179,8355,4095,13.311,15.184
4681307,179,8498,4095,13.609,15.482
4713634,178,8638,4095,13.900,15.774
4745956,178,8774,4095,14.184,16.057
4778288,177,8906,4095,14.459,16.332
4810606,177,9035,4095,14.728,16.601
4842927,177,9162,4095,14.992,16.865
4875248,177,9284,4095,15.246,17.119
4907582,177,9402,4095,15.492,17.365
4939892,177,9515,4095,15.728,17.601
4972222,176,9625,4095,15.957,17.830
5004532,175,9730,4095,16.175,18.049
5036868,173,9832,4095,16.388,18.261
5069154,172,9931,4095,16.594,18.467
5101480,171,10024,4095,16.788,18.661
5133791,170,10112,4095,16.971,18.844
5166109,169,10193,4095,17.140,19.013
5198430,168,10269,4095,17.298,19.172
5230768,167,10338,4095,17.442,19.315
5263075,166,10400,4095,17.571,19.444
5295406,165,10453,4095,17.682,19.555
5327716,164,10499,4095,17.778,19.651
5360062,163,10538,4095,17.859,19.732
5392372,162,10574,4095,17.934,19.807
5424695,161,10598,4095,17.984,19.857
5457018,161,10608,4095,18.005,19.878
5489350,160,10617,4095,18.023,19.897
5521657,159,10624,4095,18.038,19.911
5553984,158,10630,4095,18.050,19.924
5586298,158,10633,4095,18.057,19.930
5618634,157,10633,4095,18.057,19.930
5650939,156,10630,4095,18.050,19.924
5683261,155,10623,4095,18.036,19.909
5715560,155,10612,4095,18.013,19.886
5747882,154,10594,4095,17.975,19.849
5780212,154,10574,4095,17.934,19.807
5812542,153,10549,4095,17.882,19.755
5844851,152,10519,4095,17.819,19.692
5877170,152,10488,4095,17.755,19.628
5909491,151,10457,4095,17.690,19.563
5941831,151,10414,4095,17.600,19.474
5974141,150,10363,4095,17.494,19.367
6006467,150,10313,4095,17.390,19.263
6038777,150,10263,4095,17.286,19.159
6071123,149,10211,4095,17.178,19.051
6103433,149,10156,4095,17.063,18.936
6135756,149,10102,4095,16.950,18.824
6168078,150,10049,4095,16.840,18.713
6200418,151,9998,4095,16.734,18.607
