tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291504,142,1960,4095,0.000,1.861
3323861,142,1960,4095,0.000,1.861
3356183,142,1973,4095,0.028,1.888
3388482,142,2021,4095,0.128,1.988
3420808,143,2117,4095,0.328,2.188
3453130,144,2254,4095,0.613,2.474
3485464,145,2410,4095,0.938,2.799
3517774,146,2573,4095,1.278,3.138
3550102,147,2737,4095,1.619,3.480
3582418,148,2902,4095,1.963,3.824
3614754,150,3071,4095,2.315,4.176
3647066,152,3240,4095,2.667,4.528
3679389,153,3409,4095,3.019,4.880
3711720,155,3576,4095,3.367,5.228
3744048,157,3741,4095,3.711,5.572
3776356,159,3904,4095,4.050,5.911
3808678,160,4067,4095,4.390,6.251
3841011,162,4228,4095,4.725,6.586
3873342,164,4392,4095,5.067,6.928
3905653,165,4556,4095,5.409,7.269
3937972,167,4721,4095,5.753,7.613
3970303,168,4887,4095,6.098,7.959
4002631,170,5053,4095,6.444,8.305
4034941,171,5219,4095,6.790,8.651
4067267,173,5384,4095,7.134,8.994
4099582,174,5550,4095,7.480,9.340
4131924,175,5715,4095,7.823,9.684
4164232,176,5882,4095,8.171,10.032
4196556,177,6048,4095,8.517,10.378
4228878,178,6214,4095,8.863,10.724
4261219,178,6382,4095,9.213,11.074
4293528,179,6550,4095,9.563,11.424
4325847,179,6720,4095,9.917,11.778
4358168,180,6887,4095,10.265,12.126
4390506,180,7052,4095,10.609,12.469
4422821,180,7214,4095,10.946,12.807
4455145,180,7375,4095,11.282,13.142
4487454,180,7533,4095,11.611,13.472
4519790,180,7687,4095,11.932,13.792
4552111,180,7838,4095,12.246,14.107
4584434,179,7986,4095,12.555,14.415
4616755,179,8131,4095,12.857,14.717
4649090,179,8275,4095,13.157,15.017
4681410,179,8419,4095,13.457,15.317
4713728,178,8558,4095,13.746,15.607
4746050,178,8693,4095,14.028,15.888
4778382,177,8825,4095,14.303,16.163
4810692,177,8951,4095,14.565,16.426
4843022,177,9073,4095,14.819,16.680
4875341,177,9190,4095,15.063,16.924
4907672,177,9302,4095,15.296,17.157
4939992,177,9412,4095,15.525,17.386
4972323,176,9518,4095,15.746,17.607
5004640,175,9621,4095,15.961,17.822
5036966,173,9722,4095,16.171,18.032
5069274,172,9821,4095,16.378,18.238
5101606,171,9914,4095,16.571,18.432
5133928,170,10001,4095,16.753,18.613
5166260,169,10082,4095,16.921,18.782
5198570,168,10158,4095,17.080,18.940
5230900,167,10228,4095,17.225,19.086
5263219,166,10288,4095,17.350,19.211
5295550,165,10342,4095,17.463,19.324
5327860,164,10387,4095,17.557,19.417
5360185,163,10425,4095,17.636,19.497
5392507,162,10456,4095,17.700,19.561
5424841,161,10479,4095,17.748,19.609
5457151,161,10495,4095,17.782,19.642
5489475,160,10506,4095,17.805,19.665
5521805,159,10513,4095,17.819,19.680
5554138,158,10519,4095,17.832,19.692
5586447,158,10523,4095,17.840,19.701
5618766,157,10521,4095,17.836,19.697
5651100,156,10518,4095,17.830,19.690
5683427,155,10510,4095,17.813,19.674
5715737,155,10497,4095,17.786,19.647
5748063,154,10481,4095,17.753,19.613
5780371,154,10460,4095,17.709,19.569
5812712,153,10434,4095,17.655,19.515
5845018,152,10406,4095,17.596,19.457
5877347,152,10375,4095,17.532,19.392
5909669,151,10337,4095,17.453,19.313
5942015,151,10297,4095,17.369,19.230
5974325,150,10254,4095,17.280,19.140
6006644,150,10209,4095,17.186,19.047
6038965,150,10161,4095,17.086,18.947
6071305,149,10111,4095,16.982,18.842
6103615,149,10058,4095,16.871,18.732
6135940,149,10007,4095,16.765,18.626
6168259,150,9954,4095,16.655,18.515
6200598,151,9904,4095,16.550,18.411
6232907,153,9854,4095,16.446,18.307
6265230,154,9807,4095,16.348,18.209
6297552,155,9763,4095,16.257,18.117
6329884,157,9725,4095,16.178,18.038
6362188,158,9692,4095,16.109,17.969
6394518,159,9663,4095,16.048,17.909
6426833,161,9646,4095,16.013,17.874
6459169,162,9631,4095,15.982,17.842
6491473,164,9616,4095,15.950,17.811
6523795,165,9613,4095,15.944,17.805
6556095,164,9619,4095,15.957,17.817
6588419,163,9636,4095,15.992,17.853
6620748,162,9660,4095,16.042,17.903
6653076,162,9690,4095,16.105,17.965
6685386,161,9723,4095,16.173,18.034
6717704,160,9760,4095,16.250,18.111
6750036,159,9797,4095,16.328,18.188
6782366,159,9834,4095,16.405,18.265
6814676,158,9871,4095,16.482,18.342
6847001,157,9907,4095,16.557,18.417
6879311,156,9939,4095,16.623,18.484
6911658,156,9966,4095,16.680,18.540
6943968,155,9989,4095,16.728,18.588
6976291,154,10006,4095,16.763,18.624
7008612,154,10020,4095,16.792,18.653
7040954,153,10027,4095,16.807,18.667
7073263,152,10030,4095,16.813,18.674
7105581,152,10027,4095,16.807,18.667
7137891,151,10019,4095,16.790,18.651
7170236,150,10007,4095,16.765,18.626
7202538,150,9989,4095,16.728,18.588
7234856,149,9965,4095,16.678,18.538
7267155,149,9939,4095,16.623,18.484
7299477,148,9910,4095,16.563,18.424
7331810,147,9876,4095,16.492,18.353
7364138,147,9839,4095,16.415,18.276
7396447,146,9799,4095,16.332,18.192
7428765,146,9758,4095,16.246,18.107
7461100,145,9716,4095,16.159,18.019
7493427,145,9672,4095,16.067,17.928
7525737,144,9628,4095,15.975,17.836
7558063,144,9585,4095,15.886,17.747
7590391,143,9544,4095,15.800,17.661
7622721,143,9503,4095,15.715,17.576
7655029,142,9463,4095,15.632,17.492
7687352,142,9423,4095,15.548,17.409
7719673,141,9383,4095,15.465,17.326
7752015,141,9343,4095,15.382,17.242
7784324,140,9300,4095,15.292,17.153
7816642,140,9256,4095,15.200,17.061
7848952,139,9211,4095,15.107,16.967
7881299,139,9165,4095,15.011,16.872
7913598,138,9118,4095,14.913,16.774
7945918,138,9074,4095,14.821,16.682
7978218,138,9030,4095,14.730,16.590
8010541,137,8977,4095,14.619,16.480
8042867,137,8923,4095,14.507,16.367
8075199,136,8872,4095,14.400,16.261
8107510,136,8822,4095,14.296,16.157
8139829,136,8772,4095,14.192,16.053
8172149,135,8725,4095,14.094,15.955
8204485,135,8675,4095,13.990,15.851
8236771,135,8628,4095,13.892,15.753
8269095,134,8581,4095,13.794,15.655
8301411,134,8533,4095,13.694,15.555
8333728,134,8487,4095,13.598,15.459
8366051,134,8442,4095,13.505,15.365
8398382,133,8397,4095,13.411,15.272
8430694,133,8353,4095,13.319,15.180
8463022,133,8308,4095,13.225,15.086
8495341,133,8265,4095,13.136,14.997
8527672,132,8222,4095,13.046,14.907
8559994,132,8179,4095,12.957,14.817
8592338,132,8140,4095,12.875,14.736
8624648,132,8101,4095,12.794,14.655
8656973,131,8064,4095,12.717,14.578
8689274,131,8028,4095,12.642,14.503
8721605,131,7992,4095,12.567,14.428
8753928,131,7958,4095,12.496,14.357
8786260,131,7923,4095,12.423,14.284
8818570,131,7890,4095,12.355,14.215
8850900,130,7857,4095,12.286,14.147
8883210,130,7826,4095,12.221,14.082
8915545,130,7794,4095,12.155,14.015
8947847,130,7764,4095,12.092,13.953
8980168,130,7734,4095,12.030,13.890
9012472,130,7704,4095,11.967,13.828
9044790,130,7675,4095,11.907,13.767
9077112,130,7647,4095,11.848,13.709
9109444,130,7620,4095,11.792,13.653
9141762,129,7594,4095,11.738,13.599
9174084,129,7568,4095,11.684,13.544
9206404,129,7544,4095,11.634,13.494
9238733,129,7520,4095,11.584,13.444
9271048,129,7498,4095,11.538,13.399
9303373,129,7476,4095,11.492,13.353
9335695,129,7456,4095,11.450,13.311
9368027,129,7437,4095,11.411,13.272
9400345,129,7417,4095,11.369,13.230
9432664,129,7396,4095,11.325,13.186
9464986,129,7378,4095,11.288,13.149
9497321,129,7366,4095,11.263,13.124
9529631,129,7351,4095,11.232,13.092
9561961,129,7331,4095,11.190,13.051
9594270,130,7313,4095,11.153,13.013
9626607,130,7298,4095,11.121,12.982
9658893,130,7284,4095,11.092,12.953
9691219,130,7271,4095,11.065,12.926
9723529,130,7260,4095,11.042,12.903
9755848,130,7250,4095,11.021,12.882
9788362,142,7241,4095,11.003,12.863
9820687,142,7234,4095,10.988,12.849
9853002,142,7230,4095,10.980,12.840
9885320,142,7235,4095,10.990,12.851
9917642,143,7247,4095,11.015,12.876
9949974,144,7267,4095,11.057,12.917
9982291,145,7296,4095,11.117,12.978
10014614,146,7329,4095,11.186,13.047
10046933,147,7370,4095,11.271,13.132
10079264,148,7415,4095,11.365,13.226
10111580,150,7467,4095,11.473,13.334
10143903,152,7524,4095,11.592,13.453
10176225,153,7586,4095,11.721,13.582
10208558,155,7650,4095,11.855,13.715
10240880,157,7718,4095,11.996,13.857
10273197,159,7787,4095,12.140,14.001
10305520,160,7860,4095,12.292,14.153
10337852,162,7936,4095,12.450,14.311
10370162,164,8015,4095,12.615,14.476
10402492,165,8099,4095,12.790,14.651
10434810,167,8187,4095,12.973,14.834
10467141,168,8279,4095,13.165,15.026
10499451,170,8375,4095,13.365,15.226
10531781,171,8472,4095,13.567,15.428
10564104,173,8572,4095,13.775,15.636
10596436,174,8673,4095,13.986,15.847
10628744,175,8774,4095,14.196,16.057
10661069,176,8877,4095,14.411,16.272
10693383,177,8980,4095,14.625,16.486
10725720,178,9086,4095,14.846,16.707
10758020,178,9197,4095,15.078,16.938
10790361,179,9309,4095,15.311,17.172
10822675,179,9423,4095,15.548,17.409
10855014,180,9537,4095,15.786,17.647
10887315,180,9650,4095,16.021,17.882
10919635,180,9761,4095,16.253,18.113
10951941,180,9871,4095,16.482,18.342
10984259,180,9979,4095,16.707,18.567
11016581,180,10086,4095,16.930,18.790
11048913,180,10191,4095,17.148,19.009
11081231,179,10292,4095,17.359,19.219
11113552,179,10390,4095,17.563,19.424
11145868,179,10487,4095,17.765,19.626
11178203,179,10580,4095,17.959,19.819
11210514,178,10670,4095,18.146,20.007
11242842,178,10745,4095,18.303,20.163
11275164,177,10760,4095,18.334,20.194
11307498,177,10792,4095,18.400,20.261
11339805,177,10837,4095,18.494,20.355
11372130,177,10885,4095,18.594,20.455
11404444,177,10947,4095,18.723,20.584
11436780,177,11073,4095,18.986,20.847
11469082,176,11198,4095,19.246,21.107
11501431,175,11265,4095,19.386,21.247
11533741,173,11377,4095,19.619,21.480
11566078,172,11454,4095,19.780,21.640
11598385,171,11470,4095,19.813,21.674
11630716,170,11518,4095,19.913,21.774
11663038,169,11600,4095,20.084,21.944
11695374,168,11651,4095,20.190,22.051
11727682,167,11685,4095,20.261,22.122
11760015,166,11707,4095,20.307,22.167
11792338,165,11716,4095,20.325,22.186
11824668,164,11716,4095,20.325,22.186
11856980,163,11709,4095,20.311,22.172
11889299,162,11692,4095,20.275,22.136
11921621,161,11669,4095,20.228,22.088
11953958,161,11639,4095,20.165,22.026
11986270,160,11603,4095,20.090,21.951
12018594,159,11563,4095,20.007,21.867
12050922,158,11523,4095,19.923,21.784
12083252,158,11479,4095,19.832,21.692
12115560,157,11435,4095,19.740,21.601
12147883,156,11390,4095,19.646,21.507
12180212,155,11343,4095,19.548,21.409
12212546,155,11293,4095,19.444,21.305
12244856,154,11242,4095,19.338,21.199
12277175,154,11189,4095,19.228,21.088
12309496,153,11133,4095,19.111,20.972
12341835,152,11077,4095,18.994,20.855
12374145,152,11020,4095,18.875,20.736
12406471,151,10961,4095,18.753,20.613
12438780,151,10900,4095,18.625,20.486
12471127,150,10839,4095,18.498,20.359
12503437,150,10777,4095,18.369,20.230
12535760,150,10715,4095,18.240,20.101
12568082,149,10651,4095,18.107,19.967
12600422,149,10587,4095,17.973,19.834
12632731,149,10524,4095,17.842,19.703
12665050,150,10461,4095,17.711,19.572
12697361,151,10400,4095,17.584,19.444
