tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291460,142,4982,4095,-0.051,8.157
3323836,142,4987,4095,-0.040,8.167
3356166,142,5199,4095,0.401,8.609
3388473,142,5784,4095,1.620,9.828
3420800,143,6412,4095,2.929,11.136
3453112,144,6884,4095,3.912,12.119
3485449,145,7291,4095,4.760,12.967
3517749,146,7735,4095,5.685,13.892
3550087,147,8188,4095,6.629,14.836
3582380,148,8567,4095,7.418,15.626
3614704,150,8891,4095,8.093,16.301
3647021,152,9199,4095,8.735,16.942
3679349,153,9523,4095,9.410,17.617
3711655,155,9839,4095,10.068,18.276
3743983,157,10132,4095,10.679,18.886
3776296,159,10411,4095,11.260,19.467
3808632,160,10693,4095,11.847,20.055
3840939,162,10984,4095,12.454,20.661
3873260,164,11275,4095,13.060,21.267
3905558,165,11553,4095,13.639,21.847
3937881,167,11831,4095,14.218,22.426
3970212,168,12105,4095,14.789,22.997
4002542,170,12355,4095,15.310,23.517
4034850,171,12595,4095,15.810,24.017
4067169,173,12824,4095,16.287,24.494
4099478,174,13044,4095,16.745,24.953
4131825,175,13229,4095,17.131,25.338
4164125,176,13400,4095,17.487,25.694
4196444,177,13579,4095,17.860,26.067
4228743,178,13759,4095,18.235,26.442
4261068,178,13942,4095,18.616,26.824
4293389,179,14119,4095,18.985,27.192
4325724,179,14293,4095,19.347,27.555
4358031,180,14463,4095,19.701,27.909
4390360,180,14623,4095,20.035,28.242
4422674,180,14776,4095,20.354,28.561
4455009,180,14920,4095,20.654,28.861
4487308,180,15058,4095,20.941,29.149
4519628,180,15188,4095,21.212,29.419
4551938,180,15312,4095,21.470,29.678
4584254,179,15427,4095,21.710,29.917
4616576,179,15536,4095,21.937,30.144
4648909,179,15637,4095,22.147,30.355
4681225,179,15731,4095,22.343,30.551
4713548,178,15817,4095,22.522,30.730
4745863,178,15896,4095,22.687,30.894
4778199,177,15968,4095,22.837,31.044
4810508,177,16032,4095,22.970,31.178
4842838,177,16088,4095,23.087,31.294
4875159,177,16136,4095,23.187,31.394
4907491,177,16179,4095,23.276,31.484
4939799,177,16215,4095,23.351,31.559
4972126,176,16247,4095,23.418,31.626
5004440,175,16278,4095,23.483,31.690
5036777,173,16304,4095,23.537,31.744
5069077,172,16337,4095,23.606,31.813
5101421,171,16351,4095,23.635,31.842
5133734,170,16345,4095,23.622,31.830
5166070,169,16338,4095,23.608,31.815
5198370,168,16325,4095,23.581,31.788
5230690,167,16301,4095,23.531,31.738
5262998,166,16271,4095,23.468,31.676
5295316,165,16240,4095,23.404,31.611
5327637,164,16185,4095,23.289,31.497
5359970,163,16112,4095,23.137,31.344
5392287,162,16040,4095,22.987,31.194
5424610,161,15966,4095,22.833,31.040
5456928,161,15903,4095,22.701,30.909
5489259,160,15840,4095,22.570,30.778
5521575,159,15776,4095,22.437,30.644
5553899,158,15706,4095,22.291,30.499
5586220,158,15638,4095,22.149,30.357
5618555,157,15565,4095,21.997,30.205
5650876,156,15494,4095,21.849,30.057
5683193,155,15422,4095,21.699,29.907
5715513,155,15348,4095,21.545,29.753
5747847,154,15274,4095,21.391,29.599
5780156,154,15196,4095,21.229,29.436
5812488,153,15120,4095,21.070,29.278
5844797,152,15045,4095,20.914,29.122
5877133,152,14968,4095,20.754,28.961
5909433,151,14890,4095,20.591,28.799
5941757,151,14815,4095,20.435,28.642
5974060,150,14740,4095,20.279,28.486
6006377,150,14662,4095,20.116,28.324
6038699,150,14588,4095,19.962,28.169
6071036,149,14521,4095,19.822,28.030
6103345,149,14451,4095,19.676,27.884
6135671,149,14379,4095,19.526,27.734
6167981,150,14314,4095,19.391,27.599
6200326,151,14255,4095,19.268,27.476
6232638,153,14200,4095,19.154,27.361
6264960,154,14154,4095,19.058,27.265
6297282,155,14118,4095,18.983,27.190
6329615,157,14090,4095,18.924,27.132
6361920,158,14070,4095,18.883,27.090
6394249,159,14053,4095,18.847,27.055
6426563,161,14047,4095,18.835,27.042
6458899,162,14055,4095,18.851,27.059
6491204,164,14073,4095,18.889,27.097
6523525,165,14103,4095,18.951,27.159
6555824,164,14143,4095,19.035,27.242
6588146,163,14195,4095,19.143,27.351
6620475,162,14256,4095,19.270,27.478
6652807,162,14319,4095,19.401,27.609
6685115,161,14385,4095,19.539,27.747
6717433,160,14463,4095,19.701,27.909
6749742,159,14526,4095,19.833,28.040
6782087,159,14577,4095,19.939,28.147
6814388,158,14634,4095,20.058,28.265
6846708,157,14685,4095,20.164,28.372
6879007,156,14720,4095,20.237,28.444
6911330,156,14744,4095,20.287,28.494
6943643,155,14759,4095,20.318,28.526
6975979,154,14764,4095,20.329,28.536
7008280,154,14760,4095,20.320,28.528
7040595,153,14749,4095,20.297,28.505
7072903,152,14726,4095,20.249,28.457
7105226,152,14698,4095,20.191,28.399
7137546,151,14664,4095,20.120,28.328
7169878,150,14624,4095,20.037,28.244
7202184,150,14583,4095,19.951,28.159
7234515,149,14546,4095,19.874,28.082
7266828,149,14494,4095,19.766,27.974
7299164,148,14433,4095,19.639,27.847
7331469,147,14373,4095,19.514,27.722
7363791,147,14316,4095,19.395,27.603
7396090,146,14260,4095,19.279,27.486
7428412,146,14203,4095,19.160,27.367
7460742,145,14149,4095,19.047,27.255
7493072,145,14095,4095,18.935,27.142
7525382,144,14040,4095,18.820,27.028
7557700,144,13991,4095,18.718,26.926
7590031,143,13951,4095,18.635,26.842
7622362,143,13911,4095,18.551,26.759
7654671,142,13865,4095,18.456,26.663
7686998,142,13817,4095,18.356,26.563
7719316,141,13773,4095,18.264,26.472
7751656,141,13728,4095,18.170,26.378
7783964,140,13682,4095,18.074,26.282
7816287,140,13633,4095,17.972,26.180
7848608,139,13582,4095,17.866,26.074
7880948,139,13528,4095,17.754,25.961
7913256,138,13473,4095,17.639,25.847
7945575,138,13417,4095,17.522,25.730
7977889,138,13364,4095,17.412,25.619
8010232,137,13309,4095,17.297,25.505
8042534,137,13252,4095,17.179,25.386
8074853,136,13198,4095,17.066,25.274
8107151,136,13146,4095,16.958,25.165
8139473,136,13096,4095,16.854,25.061
8171805,135,13048,4095,16.754,24.961
8204133,135,13000,4095,16.654,24.861
8236442,135,12951,4095,16.551,24.759
8268761,134,12904,4095,16.454,24.661
8301085,134,12860,4095,16.362,24.569
8333423,134,12818,4095,16.274,24.482
8365732,134,12776,4095,16.187,24.394
8398059,133,12732,4095,16.095,24.303
8430368,133,12691,4095,16.010,24.217
8462707,133,12654,4095,15.933,24.140
8495014,133,12619,4095,15.860,24.067
8527341,132,12582,4095,15.783,23.990
8559654,132,12547,4095,15.710,23.917
8592000,132,12513,4095,15.639,23.847
8624302,132,12484,4095,15.579,23.786
8656631,131,12452,4095,15.512,23.719
8688946,131,12421,4095,15.447,23.655
8721296,131,12393,4095,15.389,23.597
8753596,131,12365,4095,15.331,23.538
8785917,131,12340,4095,15.279,23.486
