tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291504,142,1990,4095,-0.002,1.924
3323861,142,1991,4095,0.000,1.926
3356183,142,2003,4095,0.025,1.951
3388482,142,2048,4095,0.119,2.044
3420807,143,2139,4095,0.309,2.234
3453130,144,2265,4095,0.571,2.497
3485464,145,2412,4095,0.877,2.803
3517775,146,2569,4095,1.204,3.130
3550102,147,2729,4095,1.538,3.463
3582418,148,2892,4095,1.877,3.803
3614753,150,3059,4095,2.225,4.151
3647065,152,3227,4095,2.575,4.501
3679389,153,3394,4095,2.923,4.849
3711720,155,3560,4095,3.269,5.194
3744047,157,3724,4095,3.611,5.536
3776355,159,3888,4095,3.952,5.878
3808678,160,4050,4095,4.290,6.215
3841009,162,4213,4095,4.629,6.555
3873341,164,4376,4095,4.969,6.894
3905651,165,4541,4095,5.313,7.238
3937970,167,4708,4095,5.661,7.586
3970302,168,4875,4095,6.009,7.934
4002631,170,5044,4095,6.361,8.286
4034942,171,5211,4095,6.709,8.634
4067266,173,5378,4095,7.057,8.982
4099581,174,5543,4095,7.400,9.326
4131923,175,5708,4095,7.744,9.669
4164233,176,5874,4095,8.090,10.015
4196556,177,6038,4095,8.432,10.357
4228877,178,6202,4095,8.773,10.699
4261219,178,6369,4095,9.121,11.047
4293528,179,6536,4095,9.469,11.394
4325847,179,6706,4095,9.823,11.749
4358169,180,6873,4095,10.171,12.097
4390506,180,7040,4095,10.519,12.444
4422821,180,7206,4095,10.865,12.790
4455144,180,7368,4095,11.202,13.128
4487454,180,7529,4095,11.538,13.463
4519790,180,7685,4095,11.863,13.788
4552111,180,7829,4095,12.163,14.088
4584433,179,7969,4095,12.454,14.380
4616755,179,8110,4095,12.748,14.674
4649088,179,8248,4095,13.036,14.961
4681410,179,8383,4095,13.317,15.242
4713728,178,8513,4095,13.588,15.513
4746049,178,8643,4095,13.859,15.784
4778382,177,8775,4095,14.134,16.059
4810691,177,8910,4095,14.415,16.340
4843021,177,9043,4095,14.692,16.617
4875337,177,9169,4095,14.954,16.880
4907672,177,9288,4095,15.202,17.128
4939992,177,9401,4095,15.438,17.363
4972323,176,9512,4095,15.669,17.594
5004640,175,9620,4095,15.894,17.819
5036966,173,9727,4095,16.117,18.042
5069274,172,9831,4095,16.334,18.259
5101605,171,9930,4095,16.540,18.465
5133928,170,10023,4095,16.734,18.659
5166260,169,10110,4095,16.915,18.840
5198568,168,10192,4095,17.086,19.011
5230900,167,10267,4095,17.242,19.167
5263211,166,10335,4095,17.384,19.309
5295548,165,10397,4095,17.513,19.438
5327856,164,10450,4095,17.623,19.549
5360184,163,10494,4095,17.715,19.640
5392507,162,10530,4095,17.790,19.715
5424841,161,10562,4095,17.857,19.782
5457151,161,10587,4095,17.909,19.834
5489474,160,10606,4095,17.948,19.874
5521805,159,10623,4095,17.984,19.909
5554137,158,10636,4095,18.011,19.936
5586447,158,10647,4095,18.034,19.959
5618765,157,10654,4095,18.048,19.974
5651099,156,10658,4095,18.057,19.982
5683427,155,10656,4095,18.052,19.978
5715739,155,10648,4095,18.036,19.961
5748062,154,10636,4095,18.011,19.936
5780387,154,10619,4095,17.975,19.901
5812721,153,10602,4095,17.940,19.865
5845029,152,10582,4095,17.898,19.824
5877352,152,10551,4095,17.834,19.759
5909673,151,10512,4095,17.752,19.678
5942015,151,10473,4095,17.671,19.597
5974324,150,10433,4095,17.588,19.513
6006642,150,10390,4095,17.498,19.424
6038952,150,10345,4095,17.404,19.330
6071299,149,10297,4095,17.304,19.230
6103598,149,10248,4095,17.202,19.128
6135917,149,10197,4095,17.096,19.022
6168217,150,10148,4095,16.994,18.919
6200538,151,10097,4095,16.888,18.813
6232864,153,10048,4095,16.786,18.711
6265197,154,10000,4095,16.686,18.611
6297504,155,9957,4095,16.596,18.522
6329824,157,9926,4095,16.532,18.457
6362131,158,9896,4095,16.469,18.394
6394464,159,9862,4095,16.398,18.324
6426770,161,9835,4095,16.342,18.267
6459094,162,9820,4095,16.311,18.236
6491411,164,9811,4095,16.292,18.217
6523728,165,9812,4095,16.294,18.219
6556050,164,9821,4095,16.313,18.238
6588382,163,9838,4095,16.348,18.274
6620691,162,9863,4095,16.400,18.326
6653022,162,9894,4095,16.465,18.390
6685331,161,9926,4095,16.532,18.457
6717667,160,9961,4095,16.604,18.530
6749967,159,9996,4095,16.677,18.603
6782308,159,10033,4095,16.754,18.680
6814629,158,10068,4095,16.827,18.753
6846964,157,10104,4095,16.902,18.828
6879273,156,10135,4095,16.967,18.892
6911605,156,10161,4095,17.021,18.947
6943927,155,10183,4095,17.067,18.992
6976260,154,10199,4095,17.100,19.026
7008570,154,10210,4095,17.123,19.049
7040899,153,10217,4095,17.138,19.063
7073214,152,10217,4095,17.138,19.063
7105549,152,10212,4095,17.127,19.053
7137859,151,10203,4095,17.109,19.034
7170185,150,10190,4095,17.082,19.007
7202507,150,10172,4095,17.044,18.969
7234841,149,10150,4095,16.998,18.924
7267151,149,10124,4095,16.944,18.869
7299474,148,10096,4095,16.886,18.811
7331806,147,10063,4095,16.817,18.742
7364137,147,10027,4095,16.742,18.667
7396446,146,9988,4095,16.661,18.586
7428765,146,9948,4095,16.577,18.503
7461100,145,9907,4095,16.492,18.417
7493427,145,9865,4095,16.404,18.330
7525736,144,9821,4095,16.313,18.238
7558062,144,9777,4095,16.221,18.147
7590391,143,9734,4095,16.132,18.057
7622721,143,9691,4095,16.042,17.967
7655029,142,9648,4095,15.952,17.878
7687352,142,9606,4095,15.865,17.790
7719674,141,9565,4095,15.779,17.705
7752015,141,9524,4095,15.694,17.619
7784325,140,9483,4095,15.609,17.534
7816644,140,9440,4095,15.519,17.444
7848966,139,9397,4095,15.429,17.355
7881304,139,9352,4095,15.336,17.261
7913614,138,9304,4095,15.236,17.161
7945940,138,9256,4095,15.136,17.061
7978249,138,9208,4095,15.036,16.961
8010595,137,9155,4095,14.925,16.851
8042907,137,9104,4095,14.819,16.744
8075229,136,9054,4095,14.715,16.640
8107551,136,9001,4095,14.604,16.530
8139884,136,8949,4095,14.496,16.422
8172187,135,8897,4095,14.388,16.313
8204519,135,8844,4095,14.277,16.203
8236835,135,8793,4095,14.171,16.097
