tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291484,142,5125,4095,0.056,8.455
3323852,142,5139,4095,0.085,8.484
3356176,142,5401,4095,0.631,9.030
3388477,142,5990,4095,1.858,10.257
3420804,143,6570,4095,3.066,11.465
3453116,144,7027,4095,4.018,12.417
3485453,145,7448,4095,4.895,13.294
3517754,146,7909,4095,5.856,14.255
3550095,147,8354,4095,6.783,15.182
3582408,148,8727,4095,7.560,15.959
3614748,150,9050,4095,8.233,16.632
3647049,152,9362,4095,8.883,17.282
3679369,153,9686,4095,9.558,17.957
3711675,155,10003,4095,10.218,18.617
3743993,157,10296,4095,10.829,19.228
3776315,159,10576,4095,11.412,19.811
3808647,160,10854,4095,11.991,20.390
3840964,162,11135,4095,12.577,20.976
3873287,164,11407,4095,13.143,21.542
3905602,165,11674,4095,13.700,22.099
3937937,167,11931,4095,14.235,22.634
3970246,168,12186,4095,14.766,23.165
4002577,170,12435,4095,15.285,23.684
4034899,171,12676,4095,15.787,24.186
4067231,173,12904,4095,16.262,24.661
4099538,174,13121,4095,16.714,25.113
4131870,175,13328,4095,17.145,25.544
4164190,176,13526,4095,17.558,25.957
4196525,177,13705,4095,17.931,26.330
4228833,178,13863,4095,18.260,26.659
4261165,178,14025,4095,18.598,26.997
4293483,179,14191,4095,18.943,27.342
4325815,179,14356,4095,19.287,27.686
4358123,180,14519,4095,19.627,28.026
4390450,180,14676,4095,19.954,28.353
4422775,180,14827,4095,20.268,28.667
4455107,180,14972,4095,20.570,28.969
4487416,180,15108,4095,20.854,29.253
4519739,180,15237,4095,21.123,29.522
4552067,180,15359,4095,21.377,29.776
4584402,179,15475,4095,21.618,30.017
4616712,179,15583,4095,21.843,30.242
4649030,179,15683,4095,22.052,30.451
4681365,179,15776,4095,22.245,30.644
4713692,178,15863,4095,22.427,30.826
4746002,178,15943,4095,22.593,30.992
4778328,177,16019,4095,22.752,31.151
4810636,177,16087,4095,22.893,31.292
4842966,177,16148,4095,23.020,31.419
4875272,177,16200,4095,23.129,31.528
4907595,177,16245,4095,23.223,31.622
4939899,177,16283,4095,23.302,31.701
4972226,176,16316,4095,23.370,31.769
5004545,175,16343,4095,23.427,31.826
5036876,173,16367,4095,23.477,31.876
5069186,172,16385,4095,23.514,31.913
5101516,171,16397,4095,23.539,31.938
5133838,170,16402,4095,23.550,31.949
5166170,169,16400,4095,23.545,31.944
5198478,168,16390,4095,23.525,31.924
5230804,167,16375,4095,23.493,31.892
5263118,166,16354,4095,23.450,31.849
5295454,165,16310,4095,23.358,31.757
5327755,164,16251,4095,23.235,31.634
5360095,163,16189,4095,23.106,31.505
5392409,162,16122,4095,22.966,31.365
5424748,161,16054,4095,22.825,31.224
5457049,161,15984,4095,22.679,31.078
5489370,160,15914,4095,22.533,30.932
5521675,159,15848,4095,22.395,30.794
5553993,158,15783,4095,22.260,30.659
5586314,158,15722,4095,22.133,30.532
5618647,157,15659,4095,22.002,30.401
5650964,156,15595,4095,21.868,30.267
5683287,155,15528,4095,21.729,30.128
5715605,155,15459,4095,21.585,29.984
5747937,154,15386,4095,21.433,29.832
5780247,154,15312,4095,21.279,29.678
5812577,153,15236,4095,21.120,29.519
5844899,152,15158,4095,20.958,29.357
5877231,152,15079,4095,20.793,29.192
5909539,151,15002,4095,20.633,29.032
5941870,151,14924,4095,20.470,28.869
5974190,150,14848,4095,20.312,28.711
6006524,150,14773,4095,20.156,28.555
6038831,150,14701,4095,20.006,28.405
6071165,149,14631,4095,19.860,28.259
6103483,149,14563,4095,19.718,28.117
6135815,149,14499,4095,19.585,27.984
6168124,150,14438,4095,19.458,27.857
6200450,151,14383,4095,19.343,27.742
6232776,153,14331,4095,19.235,27.634
6265108,154,14284,4095,19.137,27.536
6297417,155,14243,4095,19.052,27.451
6329739,157,14212,4095,18.987,27.386
6362068,158,14189,4095,18.939,27.338
6394402,159,14176,4095,18.912,27.311
6426712,161,14173,4095,18.906,27.305
6459031,162,14181,4095,18.923,27.322
6491365,164,14201,4095,18.964,27.363
6523692,165,14233,4095,19.031,27.430
6556003,164,14277,4095,19.123,27.522
6588327,163,14333,4095,19.239,27.638
6620653,162,14397,4095,19.373,27.772
6652986,162,14463,4095,19.510,27.909
6685294,161,14528,4095,19.645,28.044
