tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
7752011,141,13762,4095,18.196,26.449
7784321,140,13714,4095,18.096,26.349
7816640,140,13664,4095,17.991,26.244
7848961,139,13614,4095,17.887,26.140
7881301,139,13564,4095,17.783,26.036
7913613,138,13515,4095,17.681,25.934
7945937,138,13466,4095,17.579,25.832
7978255,138,13417,4095,17.477,25.730
8010594,137,13367,4095,17.373,25.626
8042903,137,13317,4095,17.269,25.522
8075225,136,13268,4095,17.166,25.419
8107548,136,13218,4095,17.062,25.315
8139881,136,13167,4095,16.956,25.209
8172185,135,13119,4095,16.856,25.109
8204514,135,13083,4095,16.781,25.034
8236829,135,13041,4095,16.694,24.947
8269166,134,12993,4095,16.594,24.847
8301469,134,12946,4095,16.496,24.749
8333791,134,12902,4095,16.404,24.657
8366091,134,12860,4095,16.316,24.569
8398415,133,12817,4095,16.227,24.480
8430744,133,12778,4095,16.146,24.399
8463072,133,12740,4095,16.066,24.319
8495382,133,12703,4095,15.989,24.242
8527701,132,12667,4095,15.914,24.167
8560033,132,12634,4095,15.846,24.099
8592362,132,12603,4095,15.781,24.034
8624674,132,12567,4095,15.706,23.959
8656998,131,12535,4095,15.639,23.892
8689307,131,12503,4095,15.573,23.826
8721654,131,12471,4095,15.506,23.759
8753964,131,12441,4095,15.444,23.697
8786287,131,12411,4095,15.381,23.634
8818610,131,12384,4095,15.325,23.578
8850950,130,12359,4095,15.273,23.526
8883259,130,12336,4095,15.225,23.478
8915578,130,12312,4095,15.175,23.428
8947901,130,12289,4095,15.127,23.380
8980237,130,12267,4095,15.081,23.334
9012548,130,12245,4095,15.035,23.288
9044875,130,12224,4095,14.991,23.244
9077185,130,12204,4095,14.950,23.203
9109521,130,12185,4095,14.910,23.163
9141812,129,12169,4095,14.877,23.130
9174134,129,12155,4095,14.848,23.101
9206444,129,12142,4095,14.821,23.074
9238763,129,12131,4095,14.798,23.051
9271097,129,12121,4095,14.777,23.030
9303423,129,12112,4095,14.758,23.011
9335735,129,12105,4095,14.743,22.997
9368059,129,12098,4095,14.729,22.982
9400380,129,12092,4095,14.716,22.969
9432715,129,12087,4095,14.706,22.959
9465025,129,12081,4095,14.694,22.947
9497348,129,12070,4095,14.671,22.924
9529670,129,12057,4095,14.644,22.897
9562011,129,12052,4095,14.633,22.886
9594321,130,12046,4095,14.621,22.874
9626641,130,12041,4095,14.610,22.863
9658962,130,12042,4095,14.612,22.865
9691301,130,12044,4095,14.616,22.869
9723611,130,12045,4095,14.618,22.872
9755936,130,12046,4095,14.621,22.874
9788540,142,12050,4095,14.629,22.882
9820872,142,12057,4095,14.644,22.897
9853171,142,12076,4095,14.683,22.936
9885494,142,12112,4095,14.758,23.011
9917817,143,12164,4095,14.866,23.119
9950152,144,12231,4095,15.006,23.259
9982467,145,12309,4095,15.168,23.422
10014785,146,12395,4095,15.348,23.601
10047107,147,12486,4095,15.537,23.790
10079440,148,12583,4095,15.739,23.992
10111758,150,12683,4095,15.948,24.201
10144079,152,12785,4095,16.160,24.413
10176390,153,12887,4095,16.373,24.626
10208725,155,12990,4095,16.587,24.840
10241028,157,13092,4095,16.800,25.053
10273349,159,13192,4095,17.008,25.261
10305651,160,13289,4095,17.210,25.463
10337969,162,13375,4095,17.389,25.642
10370301,164,13460,4095,17.566,25.819
10402627,165,13559,4095,17.773,26.026
10434938,167,13666,4095,17.996,26.249
10467263,168,13779,4095,18.231,26.484
10499582,170,13893,4095,18.469,26.722
10531919,171,14008,4095,18.708,26.961
10564229,173,14124,4095,18.950,27.203
10596552,174,14238,4095,19.187,27.440
10628874,175,14350,4095,19.421,27.674
10661215,176,14463,4095,19.656,27.909
10693525,177,14575,4095,19.889,28.142
10725844,178,14690,4095,20.129,28.382
10758166,178,14806,4095,20.371,28.624
10790502,179,14930,4095,20.629,28.882
10822817,179,15053,4095,20.885,29.138
10855140,180,15179,4095,21.148,29.401
10887451,180,15300,4095,21.400,29.653
10919787,180,15416,4095,21.641,29.894
10952107,180,15527,4095,21.873,30.126
10984430,180,15633,4095,22.093,30.347
11016752,180,15733,4095,22.302,30.555
11049084,180,15827,4095,22.498,30.751
11081406,179,15915,4095,22.681,30.934
11113724,179,15997,4095,22.852,31.105
11146046,179,16073,4095,23.010,31.263
11178378,179,16142,4095,23.154,31.407
11210690,178,16206,4095,23.287,31.540
11243018,178,16262,4095,23.404,31.657
11275328,177,16323,4095,23.531,31.784
11307664,177,16373,4095,23.635,31.888
11339965,177,16400,4095,23.691,31.944
11372306,177,16424,4095,23.741,31.994
11404629,177,16445,4095,23.785,32.038
11436962,177,16464,4095,23.825,32.078
11469270,176,16479,4095,23.856,32.109
11501602,175,16492,4095,23.883,32.136
11533924,173,16502,4095,23.904,32.157
11566256,172,16509,4095,23.918,32.172
11598566,171,16510,4095,23.921,32.174
11630897,170,16505,4095,23.910,32.163
11663206,169,16492,4095,23.883,32.136
11695542,168,16471,4095,23.839,32.092
11727843,167,16440,4095,23.775,32.028
11760163,166,16400,4095,23.691,31.944
11792468,165,16350,4095,23.587,31.840
11824785,164,16291,4095,23.464,31.717
11857107,163,16224,4095,23.325,31.578
11889439,162,16152,4095,23.175,31.428
11921756,161,16095,4095,23.056,31.309
11954079,161,16038,4095,22.937,31.190
11986398,160,15977,4095,22.810,31.063
12018729,159,15923,4095,22.698,30.951
12051042,158,15858,4095,22.562,30.815
12083370,158,15785,4095,22.410,30.663
12115692,157,15716,4095,22.266,30.519
12148023,156,15646,4095,22.121,30.374
12180341,155,15577,4095,21.977,30.230
12212660,155,15505,4095,21.827,30.080
12244981,154,15430,4095,21.671,29.924
12277317,154,15355,4095,21.514,29.767
12309628,153,15279,4095,21.356,29.609
12341958,152,15201,4095,21.193,29.447
12374268,152,15127,4095,21.039,29.292
12406606,151,15051,4095,20.881,29.134
12438915,151,14976,4095,20.725,28.978
12471247,150,14900,4095,20.566,28.819
12503569,150,14826,4095,20.412,28.665
12535901,150,14752,4095,20.258,28.511
12568209,149,14680,4095,20.108,28.361
12600532,149,14609,4095,19.960,28.213
12632858,149,14541,4095,19.818,28.072
12665194,150,14474,4095,19.679,27.932
12697503,151,14412,4095,19.550,27.803
12729822,153,14356,4095,19.433,27.686
12762145,154,14307,4095,19.331,27.584
12794480,155,14264,4095,19.241,27.494
12826782,157,14231,4095,19.173,27.426
12859103,158,14205,4095,19.119,27.372
12891407,159,14191,4095,19.089,27.342
12923724,161,14187,4095,19.081,27.334
12956046,162,14195,4095,19.098,27.351
12988378,164,14214,4095,19.137,27.390
13020688,165,14247,4095,19.206,27.459
13053018,164,14291,4095,19.298,27.551
13085333,163,14346,4095,19.412,27.665
13117668,162,14410,4095,19.546,27.799
13149989,162,14479,4095,19.689,27.942
13182319,161,14549,4095,19.835,28.088
13214636,160,14618,4095,19.979,28.232
13246962,159,14684,4095,20.116,28.369
13279270,159,14758,4095,20.271,28.524
13311601,158,14813,4095,20.385,28.638
13343923,157,14850,4095,20.462,28.715
13376256,156,14882,4095,20.529,28.782
13408566,156,14906,4095,20.579,28.832
13440896,155,14922,4095,20.612,28.865
13473214,154,14939,4095,20.648,28.901
13505546,154,14941,4095,20.652,28.905
13537855,153,14922,4095,20.612,28.865
13570181,152,14896,4095,20.558,28.811
13602503,152,14867,4095,20.498,28.751
13634838,151,14832,4095,20.425,28.678
13667147,150,14793,4095,20.344,28.597
13699470,150,14749,4095,20.252,28.505
13731801,149,14699,4095,20.148,28.401
13764134,149,14647,4095,20.039,28.292
13796443,148,14592,4095,19.925,28.178
13828762,147,14534,4095,19.804,28.057
13861096,147,14474,4095,19.679,27.932
13893423,146,14413,4095,19.552,27.805
13925732,146,14352,4095,19.425,27.678
13958059,145,14294,4095,19.304,27.557
13990367,145,14239,4095,19.189,27.442
14022696,144,14185,4095,19.077,27.330
14054995,144,14135,4095,18.973,27.226
14087317,143,14086,4095,18.871,27.124
14119626,143,14039,4095,18.773,27.026
14151957,142,13993,4095,18.677,26.930
14184271,142,13947,4095,18.581,26.834
14216607,141,13904,4095,18.491,26.744
14248915,141,13860,4095,18.400,26.653
14281247,140,13816,4095,18.308,26.561
14313568,140,13769,4095,18.210,26.463
14345901,139,13721,4095,18.110,26.363
14378208,139,13671,4095,18.006,26.259
14410532,138,13618,4095,17.896,26.149
14442846,138,13565,4095,17.785,26.038
14475184,138,13513,4095,17.677,25.930
14507485,137,13460,4095,17.566,25.819
14539814,137,13407,4095,17.456,25.709
14572113,136,13354,4095,17.346,25.599
14604437,136,13299,4095,17.231,25.484
14636756,136,13245,4095,17.118,25.372
14669084,135,13193,4095,17.010,25.263
14701407,135,13143,4095,16.906,25.159
14733724,135,13094,4095,16.804,25.057
14766045,134,13048,4095,16.708,24.961
14798378,134,13015,4095,16.639,24.892
14830688,134,12975,4095,16.556,24.809
14863018,134,12925,4095,16.452,24.705
14895332,133,12882,4095,16.362,24.615
14927668,133,12843,4095,16.281,24.534
14959987,133,12805,4095,16.202,24.455
14992316,133,12770,4095,16.129,24.382
15024633,132,12736,4095,16.058,24.311
15056962,132,12704,4095,15.991,24.244
15089270,132,12672,4095,15.925,24.178
15121601,132,12642,4095,15.862,24.115
15153922,131,12613,4095,15.802,24.055
15186255,131,12584,4095,15.741,23.994
15218564,131,12555,4095,15.681,23.934
15250895,131,12527,4095,15.623,23.876
15283210,131,12500,4095,15.566,23.819
15315546,131,12474,4095,15.512,23.765
15347854,130,12449,4095,15.460,23.713
15380182,130,12425,4095,15.410,23.663
15412503,130,12405,4095,15.368,23.622
15444837,130,12385,4095,15.327,23.580
15477147,130,12368,4095,15.291,23.544
15509470,130,12350,4095,15.254,23.507
15541802,130,12334,4095,15.221,23.474
15574134,130,12317,4095,15.185,23.438
15606442,130,12300,4095,15.150,23.403
15638761,129,12287,4095,15.123,23.376
15671086,129,12273,4095,15.094,23.347
15703423,129,12257,4095,15.060,23.313
15735734,129,12242,4095,15.029,23.282
15768059,129,12229,4095,15.002,23.255
15800386,129,12216,4095,14.975,23.228
15832717,129,12205,4095,14.952,23.205
15865025,129,12196,4095,14.933,23.186
15897348,129,12189,4095,14.919,23.172
15929670,129,12181,4095,14.902,23.155
15962011,129,12177,4095,14.893,23.147
15994321,129,12170,4095,14.879,23.132
16026640,129,12162,4095,14.862,23.115
16058960,129,12156,4095,14.850,23.103
16091301,130,12150,4095,14.837,23.090
16123611,130,12145,4095,14.827,23.080
