tempo_us,sinal_ad,adc_ads,adc_gpio14,pressao,pressao_total
3291480,142,4659,4095,-0.163,7.484
3323849,142,4678,4095,-0.124,7.524
3356173,142,4862,4095,0.260,7.907
3388473,142,5386,4095,1.351,8.999
3420800,143,5936,4095,2.497,10.144
3453114,144,6384,4095,3.430,11.078
3485451,145,6773,4095,4.241,11.888
3517751,146,7186,4095,5.101,12.749
3550092,147,7615,4095,5.995,13.642
3582406,148,7962,4095,6.718,14.365
3614745,150,8390,4095,7.610,15.257
3647045,152,8956,4095,8.789,16.436
3679366,153,9344,4095,9.597,17.244
3711672,155,9658,4095,10.251,17.899
3743989,157,9732,4095,10.405,18.053
3776312,159,9775,4095,10.495,18.142
3808644,160,9966,4095,10.893,18.540
3840961,162,10206,4095,11.393,19.040
3873284,164,10458,4095,11.918,19.565
3905604,165,10700,4095,12.422,20.069
3937933,167,10940,4095,12.922,20.569
3970243,168,11177,4095,13.416,21.063
4002573,170,11413,4095,13.907,21.555
4034896,171,11637,4095,14.374,22.022
4067228,173,11853,4095,14.824,22.472
4099536,174,12053,4095,15.241,22.888
4131867,175,12224,4095,15.597,23.244
4164190,176,12388,4095,15.939,23.586
4196521,177,12555,4095,16.287,23.934
4228833,178,12723,4095,16.637,24.284
4261162,178,12888,4095,16.980,24.628
4293473,179,13051,4095,17.320,24.967
4325811,179,13210,4095,17.651,25.299
4358123,180,13362,4095,17.968,25.615
4390447,180,13508,4095,18.272,25.919
4422774,180,13646,4095,18.560,26.207
4455106,180,13780,4095,18.839,26.486
4487413,180,13907,4095,19.103,26.751
4519736,180,14027,4095,19.353,27.001
4552065,180,14143,4095,19.595,27.242
4584399,179,14252,4095,19.822,27.469
4616710,179,14355,4095,20.037,27.684
4649029,179,14450,4095,20.235,27.882
4681362,179,14538,4095,20.418,28.065
4713688,178,14618,4095,20.585,28.232
4746001,178,14692,4095,20.739,28.386
4778324,177,14774,4095,20.910,28.557
4810633,177,14849,4095,21.066,28.713
4842973,177,14895,4095,21.162,28.809
4875280,177,14938,4095,21.251,28.899
4907610,177,14992,4095,21.364,29.011
4939932,177,15037,4095,21.457,29.105
4972277,176,15073,4095,21.532,29.180
5004588,175,15105,4095,21.599,29.247
5036908,173,15126,4095,21.643,29.290
5069231,172,15148,4095,21.689,29.336
5101566,171,15160,4095,21.714,29.361
5133878,170,15165,4095,21.724,29.372
5166202,169,15159,4095,21.712,29.359
5198512,168,15143,4095,21.678,29.326
5230859,167,15118,4095,21.626,29.274
5263168,166,15083,4095,21.553,29.201
5295491,165,15039,4095,21.462,29.109
5327813,164,14988,4095,21.355,29.003
5360152,163,14931,4095,21.237,28.884
5392467,162,14868,4095,21.105,28.753
5424785,161,14801,4095,20.966,28.613
5457108,161,14731,4095,20.820,28.467
5489440,160,14668,4095,20.689,28.336
5521758,159,14607,4095,20.562,28.209
5554079,158,14547,4095,20.437,28.084
5586389,158,14485,4095,20.307,27.955
5618725,157,14421,4095,20.174,27.822
5651016,156,14360,4095,20.047,27.694
5683337,155,14296,4095,19.914,27.561
5715648,155,14231,4095,19.778,27.426
5747967,154,14163,4095,19.637,27.284
5780299,154,14094,4095,19.493,27.140
