,duty_percent,pulso_ms
0,29.4,5.1128072289156625
1,39.2,3.478228
2,49.0,2.3494119999999996
3,58.8,2.017276
4,68.6,1.646772
5,78.4,1.393172
6,88.2,1.23268
7,98.0,1.100836
8,100.0,1.1117831325301204
